,RMSE,MAE,MAPE
XGBoost,5.98492305330084,4.001699865755764,18.753322889615347
UniGRU,6.845061480998993,4.754194378852844,24.17059445381165
Naive Seasonal,7.962839043281881,5.03851040809889,25.473749451192894
TFT,10.004438842865422,7.990191790792677,21.253119541342848
SpatioTemporalGRU,13.746942520141602,9.08493995666504,34.30091857910156
ARIMA,22.35937469166302,18.79011432636631,54.70079475573779
