Model,RMSE,MAE,MAPE,empirical_coverage,interval_width,miscalibration,CRPS
XGBoost Quantile,5.970473165493804,3.9882364054728097,18.438275024953306,0.6487347696244476,8.577311635017395,0.25126523037555243,3.227492780340008
MC Dropout GRU,7.286523640155792,5.17906129360199,25.203631162643433,0.4807668083766336,8.164074718952179,0.41923319162336636,4.160686065252138
Quantile TFT,10.00443849094353,7.990191578865051,21.25311944079983,0.3888888888888889,10.58529281616211,0.5111111111111111,6.477044562403582
