Model,RMSE,MAE,MAPE
XGBoost,5.98492305330084,4.001699865755764,18.753322889615347
UniGRU,6.845061480998993,4.754194378852844,24.17059445381165
Naive Seasonal,7.962839043281881,5.03851040809889,25.473749451192894
SpatioTemporalGRU,13.746942520141602,9.084939956665039,34.30091857910156
ARIMA,22.35937469166302,18.79011432636631,54.70079475573779
